;un -;*;/;\;+;-;=;<>;<;<=;>=;>;NOT;AND;OR;(;);,;i;$
un -;<;>;>;>;>;>;>;>;>;>;>;>;x;>;>;<;>;>;<;>
*;<;>;>;>;>;>;>;>;>;>;>;>;<;>;>;<;>;>;<;>
/;<;>;>;>;>;>;>;>;>;>;>;>;<;>;>;<;>;>;<;>
\;<;<;<;>;>;>;>;>;>;>;>;>;<;>;>;<;>;>;<;>
+;<;<;<;<;>;>;>;>;>;>;>;>;<;>;>;<;>;>;<;>
-;<;<;<;<;>;>;>;>;>;>;>;>;<;>;>;<;>;>;<;>
=;<;<;<;<;<;<;>;>;>;>;>;>;<;>;>;<;>;>;<;>
<>;<;<;<;<;<;<;>;>;>;>;>;>;<;>;>;<;>;>;<;>
<;<;<;<;<;<;<;>;>;>;>;>;>;<;>;>;<;>;>;<;>
<=;<;<;<;<;<;<;>;>;>;>;>;>;<;>;>;<;>;>;<;>
>=;<;<;<;<;<;<;>;>;>;>;>;>;<;>;>;<;>;>;<;>
>;<;<;<;<;<;<;>;>;>;>;>;>;<;>;>;<;>;>;<;>
NOT;x;>;>;>;>;>;>;>;>;>;>;>;<;>;>;<;>;>;<;>
AND;<;<;<;<;<;<;<;<;<;<;<;<;<;>;>;<;>;>;<;>
OR;<;<;<;<;<;<;<;<;<;<;<;<;<;<;>;<;>;>;<;>
(;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;=;=;<;x
);>;>;>;>;>;>;>;>;>;>;>;>;>;>;>;x;>;>;x;>
,;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;=;=;<;x
i;x;>;>;>;>;>;>;>;>;>;>;>;x;>;>;=;>;>;x;>
$;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;x;x;<;x
